Budget,Language,Country,Year,Name,Rate,Genre
30000000,en,United States of America,1991,Madonna: Truth or Dare,6.3,Documentary
200000,en,United States of America,1991,Dingo,6,Drama
250000,en,United States of America,1991,Poison,6.4,Drama
300000,en,United States of America,1991,High Strung,5.4,Comedy
500000,en,United States of America,1991,Johnny Suede,4.8,Comedy
800000,en,United States of America,1991,Daughters of the Dust,6.8,Drama
800000,en,United States of America,1991,Puppet Master III Toulon's Revenge,6,Horror
1000000,en,United States of America,1991,Delusion,4.8,Crime
1182273,en,United States of America,1991,Year of the Gun,4.2,Action
1227401,en,United States of America,1991,The Rapture,6.4,Mystery
1400000,en,United States of America,1991,Shakes the Clown,5.5,Action
2000000,en,United States of America,1991,The Pit and the Pendulum,5.7,Horror
2500000,en,United States of America,1991,My Own Private Idaho,7.1,Drama
3000000,en,United States of America,1991,Scenes from a Mall,4.8,Comedy
3500000,en,United States of America,1991,Night on Earth,7.5,Comedy
4000000,en,United States of America,1991,Closet Land,6.6,Drama
5000000,en,United States of America,1991,Meet the Applegates,5,Comedy
6000000,en,United States of America,1991,Beastmaster 2: Through the Portal of Time,4.6,Action
6000000,en,United States of America,1991,Cool as Ice,4.7,Drama
6000000,en,United States of America,1991,The People Under the Stairs,6.4,Comedy
6500000,en,United States of America,1991,Boyz n the Hood,7.4,Crime
6788000,en,United States of America,1991,Drop Dead Fred,5.9,Comedy
7000000,en,United States of America,1991,The Indian Runner,6.2,Drama
7500000,en,United States of America,1991,Rambling Rose,6.4,Drama
8000000,en,United States of America,1991,Mortal Thoughts,5.3,Mystery
8000000,en,United States of America,1991,A Rage in Harlem,5.8,Crime
8000000,en,United States of America,1991,Showdown in Little Tokyo,5.7,Action
8500000,en,United States of America,1991,New Jack City,6.3,Thriller
9000000,en,United States of America,1991,Barton Fink,7.4,Comedy
9000000,en,United States of America,1991,Highway to Hell,6.1,Fantasy
10000000,en,United States of America,1991,The Perfect Weapon,6,Action
10000000,en,United States of America,1991,Don't Tell Mom the Babysitter's Dead,5.8,Comedy
11000000,en,United States of America,1991,Return to the Blue Lagoon,5.2,Adventure
11000000,en,United States of America,1991,Freddy's Dead: The Final Nightmare,5.1,Horror
11000000,en,United States of America,1991,Kafka,6.6,Comedy
11000000,en,United States of America,1991,Fried Green Tomatoes,7.6,Drama
12000000,en,United States of America,1991,The Doctor,6.6,Drama
13000000,en,United States of America,1991,Mannequin Two: On the Move,4.6,Fantasy
13000000,en,United States of America,1991,Eve of Destruction,5.1,Action
13000000,en,United States of America,1991,Child's Play 3,5.5,Thriller
14000000,en,United States of America,1991,White Fang,6.5,Action
14000000,en,United States of America,1991,Out for Justice,5.9,Action
14000000,en,United States of America,1991,Jungle Fever,6,Drama
14000000,en,United States of America,1991,Shadows and Fog,7,Thriller
15000000,en,United States of America,1991,Double Impact,5.3,Thriller
16000000,en,United States of America,1991,Run,5.5,Action
16000000,en,United States of America,1991,Thelma & Louise,7.2,Drama
16000000,en,United States of America,1991,Naked Lunch,7,Crime
16400000,en,United States of America,1991,F/X2,5.8,Adventure
16500000,en,United States of America,1991,My Girl,7,Comedy
17000000,en,United States of America,1991,Dutch,6.4,Comedy
17000000,en,United States of America,1991,Another You,4.9,Comedy
17010000,en,United States of America,1991,Pure Luck,5.5,Comedy
18000000,en,United States of America,1991,Rock-A-Doodle,5.3,Comedy
18000000,en,United States of America,1991,Delirious,5.5,Fantasy
19000000,en,United States of America,1991,The Silence of the Lambs,8.1,Crime
19000000,en,United States of America,1991,Sleeping with the Enemy,6.1,Drama
22000000,en,United States of America,1991,The Super,5.5,Comedy
22000000,en,United States of America,1991,Shattered,6.1,Mystery
23000000,en,United States of America,1991,The Naked Gun 2½: The Smell of Fear,6.6,Comedy
23000000,en,United States of America,1991,Mobsters,5.7,Drama
23000000,en,United States of America,1991,Harley Davidson and the Marlboro Man,6.1,Action
24000000,en,United States of America,1991,Point Break,6.9,Action
24000000,en,United States of America,1991,The Fisher King,7.2,Comedy
25000000,en,United States of America,1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.8,Science Fiction
25000000,en,United States of America,1991,Beauty and the Beast,7.5,Romance
26000000,en,United States of America,1991,The Marrying Man,5,Action
26000000,en,United States of America,1991,Hot Shots!,6.4,Action
27000000,en,United States of America,1991,City Slickers,6.2,Action
27000000,en,United States of America,1991,Star Trek VI: The Undiscovered Country,6.7,Science Fiction
29000000,en,United States of America,1991,The Last Boy Scout,6.5,Action
30000000,en,United States of America,1991,Highlander II: The Quickening,4.5,Action
30000000,en,United States of America,1991,The Addams Family,6.7,Horror
30000000,en,United States of America,1991,Bugsy,6,Drama
30000000,en,United States of America,1991,The Prince of Tides,5.9,Drama
34000000,en,United States of America,1991,Paradise,5.6,Drama
35000000,en,United States of America,1991,Flight of the Intruder,5.7,Action
35000000,en,United States of America,1991,Oscar,6.2,Action
35000000,en,United States of America,1991,What About Bob?,6.7,Comedy
35000000,en,United States of America,1991,Cape Fear,7,Crime
36000000,en,United States of America,1991,At Play in the Fields of the Lord,5.8,Drama
38000000,en,United States of America,1991,The Doors,6.7,Drama
40000000,en,United States of America,1991,Nothing but Trouble,5,Comedy
40000000,en,United States of America,1991,For the Boys,6.5,Music
40000000,en,United States of America,1991,JFK,7.5,Drama
42000000,en,United States of America,1991,The Rocketeer,6.3,Action
48000000,en,United States of America,1991,Robin Hood: Prince of Thieves,6.6,Adventure
48000000,en,United States of America,1991,Billy Bathgate,5.7,Drama
65000000,en,United States of America,1991,Hudson Hawk,5.4,Action
70000000,en,United States of America,1991,Hook,6.7,Adventure
75000000,en,United States of America,1991,Backdraft,6.4,Action
100000000,en,United States of America,1991,Terminator 2: Judgment Day,7.7,Action
30000000,en,United States of America,1992,Falling From Grace,5.3,Drama
30000000,en,United States of America,1992,Split Second,5.8,Thriller
30000000,en,United States of America,1992,Man Trouble,4.7,Comedy
130000,en,United States of America,1992,Claire of the Moon,5.2,Drama
140000,en,United States of America,1992,Evil Toons,4.1,Comedy
250000,en,United States of America,1992,Swoon,5.9,Drama
500000,en,United States of America,1992,Adam,6,Animation
800000,en,United States of America,1992,Guncrazy,5,Drama
1000000,en,United States of America,1992,Mindwarp,5.5,Horror
1000000,en,United States of America,1992,The Adjuster,6.5,Comedy
1000000,en,United States of America,1992,Bad Lieutenant,6.9,Crime
1200000,en,United States of America,1992,Reservoir Dogs,8.1,Crime
2000000,en,United States of America,1992,Doctor Mordrid,6.1,Fantasy
3000000,en,United States of America,1992,Braindead,7.4,Horror
3000000,en,United States of America,1992,Strictly Ballroom,6.2,Comedy
3705538,en,United States of America,1992,The Crying Game,6.9,Romance
4000000,en,United States of America,1992,Orlando,6.7,Romance
4000000,en,United States of America,1992,Baraka,8,Documentary
4000000,en,United States of America,1992,South Central,6.6,Crime
5000000,en,United States of America,1992,Juice,7,Action
5000000,en,United States of America,1992,Light Sleeper,5.7,Drama
5000000,en,United States of America,1992,Bitter Moon,7,Thriller
5000000,en,United States of America,1992,Hellraiser III: Hell on Earth,5.3,Horror
6000000,en,United States of America,1992,Candyman,6.2,Drama
7000000,en,United States of America,1992,Buffy the Vampire Slayer,5.3,Action
8000000,en,United States of America,1992,The Player,6.9,Comedy
8000000,en,United States of America,1992,Dust Devil,6.7,Horror
8000000,en,United States of America,1992,Pet Sematary II,5,Horror
8000000,en,United States of America,1992,Fortress,5.7,Action
9500000,en,United States of America,1992,The Vagrant,7,Comedy
10000000,en,United States of America,1992,The Lawnmower Man,5.4,Horror
10000000,en,United States of America,1992,Twin Peaks: Fire Walk with Me,7.3,Drama
10000000,en,United States of America,1992,Rapid Fire,6.2,Action
10000000,en,United States of America,1992,The Mighty Ducks,6.4,Comedy
11000000,en,United States of America,1992,My Cousin Vinny,7.3,Comedy
11000000,en,United States of America,1992,Out on a Limb,6.1,Comedy
11000000,en,United States of America,1992,Army of Darkness,7.3,Fantasy
11700000,en,United States of America,1992,The Hand that Rocks the Cradle,6.5,Thriller
12000000,en,United States of America,1992,Noises Off...,7,Comedy
12000000,en,United States of America,1992,Raising Cain,5.9,Drama
12500000,en,United States of America,1992,Glengarry Glen Ross,7.5,Crime
13000000,en,United States of America,1992,The Gun in Betty Lou's Handbag,4.1,Comedy
14000000,en,United States of America,1992,Unforgiven,7.7,Western
14000000,en,United States of America,1992,Trespass,6.2,Action
15000000,en,United States of America,1992,Newsies,6.2,Drama
15000000,en,United States of America,1992,Passenger 57,5.6,Action
16000000,en,United States of America,1992,Single White Female,6,Thriller
17000000,en,United States of America,1992,Mo' Money,5.6,Action
17000000,en,United States of America,1992,Diggstown,6.5,Action
18000000,en,United States of America,1992,Article 99,5.5,Comedy
18000000,en,United States of America,1992,Consenting Adults,5.6,Crime
18000000,en,United States of America,1992,Home Alone 2: Lost in New York,6.3,Comedy
20000000,en,United States of America,1992,Wayne's World,6.5,Music
20000000,en,United States of America,1992,Jennifer Eight,5.8,Crime
23000000,en,United States of America,1992,Unlawful Entry,5.8,Crime
23000000,en,United States of America,1992,Universal Soldier,5.8,Thriller
24000000,en,United States of America,1992,Captain Ron,5.6,Action
25000000,en,United States of America,1992,Stay Tuned,6,Comedy
25000000,en,United States of America,1992,Honeymoon in Vegas,5.5,Action
25000000,en,United States of America,1992,The Bodyguard,6.2,Thriller
27000000,en,United States of America,1992,City of Joy,6.3,Drama
28000000,en,United States of America,1992,Aladdin,7.4,Animation
29000000,en,United States of America,1992,Wind,6.1,Action
30000000,en,United States of America,1992,Cool World,4.9,Animation
31000000,en,United States of America,1992,Sister Act,6.5,Music
31000000,en,United States of America,1992,Scent of a Woman,7.3,Drama
34000000,en,United States of America,1992,Malcolm X,7.3,Drama
35000000,en,United States of America,1992,Radio Flyer,6.6,Drama
35000000,en,United States of America,1992,Lethal Weapon 3,6.4,Adventure
35000000,en,United States of America,1992,Under Siege,6.1,Action
35000000,en,United States of America,1992,Hoffa,6.1,Crime
40000000,en,United States of America,1992,Medicine Man,5.8,Adventure
40000000,en,United States of America,1992,Memoirs of an Invisible Man,5.7,Comedy
40000000,en,United States of America,1992,Boomerang,5.4,Comedy
40000000,en,United States of America,1992,A League of Their Own,6.8,Comedy
40000000,en,United States of America,1992,Honey I Blew Up the Kid,4.8,Adventure
40000000,en,United States of America,1992,The Last of the Mohicans,7.1,Action
40000000,en,United States of America,1992,Dracula,7.1,Romance
40000000,en,United States of America,1992,A Few Good Men,7.1,Drama
42000000,en,United States of America,1992,Hero,6.3,Drama
43000000,en,United States of America,1992,Mr. Saturday Night,5.2,Drama
45000000,en,United States of America,1992,Patriot Games,6.4,Drama
47000000,en,United States of America,1992,1492: Conquest of Paradise,6.1,Action
49000000,en,United States of America,1992,Basic Instinct,6.5,Thriller
50000000,en,United States of America,1992,Alien³,6.2,Science Fiction
55000000,en,United States of America,1992,Death Becomes Her,6.3,Fantasy
60000000,en,United States of America,1992,Far and Away,6.3,Adventure
80000000,en,United States of America,1992,Batman Returns,6.6,Action
30000000,en,United States of America,1993,The Tommyknockers,5.1,Horror
30000000,en,United States of America,1993,The Meteor Man,4.6,Fantasy
30000000,en,United States of America,1993,Striking Distance,5.4,Crime
30000000,en,United States of America,1993,For the Moment,7.4,War
30000000,en,United States of America,1993,"Clean, Shaven",7,Drama
125000,en,United States of America,1993,Cannibal! The Musical,6.8,Comedy
500000,en,United States of America,1993,Lush Life,3.8,Drama
750000,en,United States of America,1993,Bad Boy Bubby,7.1,Crime
800000,en,United States of America,1993,Ruby in Paradise,5.6,Drama
900000,en,United States of America,1993,Leprechaun,5.1,Comedy
900000,en,United States of America,1993,Children of the Corn II: The Final Sacrifice,4.5,Horror
1000000,en,United States of America,1993,Sankofa,6.9,Drama
1500000,en,United States of America,1993,Amityville: A New Generation,2.8,Horror
1500000,en,United States of America,1993,Killing Zoe,6.1,Action
2000000,en,United States of America,1993,Return of the Living Dead 3,5.9,Comedy
2000000,en,United States of America,1993,Ticks,5.2,Horror
2500000,en,United States of America,1993,"Bodies, Rest & Motion",4.3,Drama
2600000,en,United States of America,1993,Airborne,6.1,Action
3000000,en,United States of America,1993,Jason Goes to Hell: The Final Friday,4.2,Fantasy
3500000,en,United States of America,1993,Menace II Society,7.2,Drama
5000000,en,United States of America,1993,Philadelphia Experiment II,5,Science Fiction
5000000,en,United States of America,1993,Cyborg 2,3.9,Action
6000000,en,United States of America,1993,The Crush,5.5,Drama
6000000,en,United States of America,1993,Only the Strong,6.8,Action
6000000,en,United States of America,1993,Man's Best Friend,5.5,Horror
6000000,en,United States of America,1993,Batman: Mask of the Phantasm,7.4,Action
6500000,en,United States of America,1993,The Adventures of Huck Finn,6.2,Action
6900000,en,United States of America,1993,Dazed and Confused,7.4,Comedy
7000000,en,United States of America,1993,The Piano,7.1,Drama
8000000,en,United States of America,1993,Much Ado About Nothing,7.2,Drama
8000000,en,United States of America,1993,Red Rock West,6.4,Crime
9000000,en,United States of America,1993,Joshua Tree,5.1,Action
9000000,en,United States of America,1993,Kalifornia,6.5,Thriller
10000000,en,United States of America,1993,Deadfall,3.1,Crime
11000000,en,United States of America,1993,The Joy Luck Club,7.1,Drama
11000000,en,United States of America,1993,Money for Nothing,5.1,Drama
11000000,en,United States of America,1993,What's Eating Gilbert Grape,7.5,Romance
11500000,en,United States of America,1993,Romeo Is Bleeding,5.7,Action
11500000,en,United States of America,1993,The Remains of the Day,7.5,Drama
12000000,en,United States of America,1993,Bopha!,0,Drama
12000000,en,United States of America,1993,Rudy,7.2,Drama
12000000,en,United States of America,1993,A Home of Our Own,7,Comedy
12500000,en,United States of America,1993,True Romance,7.5,Action
13000000,en,United States of America,1993,Body Snatchers,5.8,Horror
13000000,en,United States of America,1993,Once Upon a Forest,6.2,Animation
13000000,en,United States of America,1993,Calendar Girl,3.7,Drama
13000000,en,United States of America,1993,In the Name of the Father,7.6,Drama
13500000,en,United States of America,1993,Manhattan Murder Mystery,7.1,Comedy
14000000,en,United States of America,1993,Dragon: The Bruce Lee Story,6.8,Drama
14000000,en,United States of America,1993,The Thing Called Love,6.5,Music
14000000,en,United States of America,1993,Poetic Justice,6.9,Drama
14000000,en,United States of America,1993,Cool Runnings,6.8,Comedy
14600000,en,United States of America,1993,Groundhog Day,7.4,Romance
15000000,en,United States of America,1993,The Temp,5.5,Drama
15000000,en,United States of America,1993,The Dark Half,5.4,Mystery
15000000,en,United States of America,1993,Beethoven's 2nd,5,Family
17000000,en,United States of America,1993,The Good Son,6.2,Drama
18000000,en,United States of America,1993,Hard Target,6.1,Action
18000000,en,United States of America,1993,The Nightmare Before Christmas,7.6,Fantasy
18000000,en,United States of America,1993,Josh and S.A.M.,5,Adventure
19000000,en,United States of America,1993,Arizona Dream,7.2,Fantasy
19000000,en,United States of America,1993,The Nutcracker,5.6,Family
19885552,en,United States of America,1993,Fire in the Sky,6.5,Drama
20000000,en,United States of America,1993,Free Willy,6,Family
20000000,en,United States of America,1993,Robin Hood: Men in Tights,6.4,Comedy
20000000,en,United States of America,1993,So I Married an Axe Murderer,6.1,Comedy
21000000,en,United States of America,1993,Teenage Mutant Ninja Turtles III,5.1,Action
21000000,en,United States of America,1993,Sleepless in Seattle,6.5,Comedy
22000000,en,United States of America,1993,RoboCop 3,4.2,Action
22000000,en,United States of America,1993,Made in America,5.3,Comedy
22000000,en,United States of America,1993,A Bronx Tale,7.4,Drama
22000000,en,United States of America,1993,Schindler's List,8.3,Drama
22000000,en,United States of America,1993,Shadowlands,6.8,Drama
25000000,en,United States of America,1993,Son of the Pink Panther,3.8,Comedy
25000000,en,United States of America,1993,Falling Down,7.2,Crime
25000000,en,United States of America,1993,Hot Shots! Part Deux,6.2,Action
25000000,en,United States of America,1993,The House of the Spirits,6.7,Romance
25000000,en,United States of America,1993,Mrs. Doubtfire,7,Comedy
25000000,en,United States of America,1993,Tombstone,7.4,Action
26000000,en,United States of America,1993,Philadelphia,7.6,Drama
28000000,en,United States of America,1993,Hocus Pocus,6.5,Comedy
30000000,en,United States of America,1993,Body of Evidence,4.5,Drama
30000000,en,United States of America,1993,For Love or Money,5.7,Comedy
30000000,en,United States of America,1993,Carlito's Way,7.7,Action
30000000,en,United States of America,1993,The Three Musketeers,6.2,Action
30000000,en,United States of America,1993,A Perfect World,7.2,Crime
32000000,en,United States of America,1993,Alive,6.7,Action
33000000,en,United States of America,1993,Heaven & Earth,6.4,History
34000000,en,United States of America,1993,The Age of Innocence,7,Drama
35000000,en,United States of America,1993,Bound by Honor,7.7,Action
35000000,en,United States of America,1993,Dennis the Menace,5.5,Family
35000000,en,United States of America,1993,Little Buddha,6,Drama
35000000,en,United States of America,1993,Geronimo: An American Legend,5.9,History
38000000,en,United States of America,1993,Indecent Proposal,5.8,Drama
38000000,en,United States of America,1993,Sister Act 2: Back in the Habit,5.9,Music
40000000,en,United States of America,1993,Sliver,4.9,Drama
40000000,en,United States of America,1993,In the Line of Fire,6.8,Action
42000000,en,United States of America,1993,The Firm,6.6,Drama
44000000,en,United States of America,1993,The Fugitive,7.2,Adventure
45000000,en,United States of America,1993,The Pelican Brief,6.3,Drama
48000000,en,United States of America,1993,Super Mario Bros.,4,Adventure
57000000,en,United States of America,1993,Demolition Man,6.4,Crime
63000000,en,United States of America,1993,Jurassic Park,7.6,Adventure
70000000,en,United States of America,1993,Cliffhanger,6.1,Action
85000000,en,United States of America,1993,Last Action Hero,6.1,Adventure
30000000,en,United States of America,1994,The Sum of Us,6,Comedy
30000000,en,United States of America,1994,Immortal Beloved,6.9,Drama
30000000,en,United States of America,1994,Clerks,7.4,Comedy
30000000,en,United States of America,1994,The Ride,8,Comedy
200000,en,United States of America,1994,Spanking the Monkey,5.3,Comedy
400000,en,United States of America,1994,Kickboxer 4: The Agresor,4.5,Drama
600000,en,United States of America,1994,Texas Chainsaw Massacre: The Next Generation,3.9,Horror
700000,en,United States of America,1994,Hoop Dreams,7.7,Documentary
1000000,en,United States of America,1994,Roadracers,5.4,Action
1300000,en,United States of America,1994,Night of the Demons 2,6,Comedy
1500000,en,United States of America,1994,The Fantastic Four,5.2,Action
2000000,en,United States of America,1994,Leprechaun 2,4.8,Comedy
2500000,en,United States of America,1994,Phantasm III: Lord of the Dead,5.6,Horror
2500000,en,United States of America,1994,The Last Seduction,6.7,Thriller
3000000,en,United States of America,1994,Muriel's Wedding,6.9,Drama
3200000,en,United States of America,1994,Barcelona,6.6,Comedy
3500000,en,United States of America,1994,Double Dragon,3.9,Action
4800000,en,United States of America,1994,Beyond Bedlam,4,Horror
5000000,en,United States of America,1994,Death Wish 5: The Face of Death,5,Action
5000000,en,United States of America,1994,Heavenly Creatures,6.9,Drama
6000000,en,United States of America,1994,Four Weddings and a Funeral,6.6,Comedy
6000000,en,United States of America,1994,The Paper,6.1,Comedy
7000000,en,United States of America,1994,Jason's Lyric,5.9,Crime
7400000,en,United States of America,1994,Surviving the Game,6.1,Action
8000000,en,United States of America,1994,Mother's Boys,5.4,Drama
8000000,en,United States of America,1994,Even Cowgirls Get the Blues,4.2,Western
8000000,en,United States of America,1994,Pulp Fiction,8.3,Thriller
8000000,en,United States of America,1994,In the Mouth of Madness,7.1,Horror
8500000,en,United States of America,1994,Camilla,4.9,Adventure
9000000,en,United States of America,1994,PCU,6,Comedy
10000000,en,United States of America,1994,Abraham,4,Drama
10000000,en,United States of America,1994,A Low Down Dirty Shame,6,Action
10500000,en,United States of America,1994,There Goes My Baby,8.5,Drama
10700000,en,United States of America,1994,"Car 54, Where Are You?",3,Action
11000000,en,United States of America,1994,The Ref,6.7,Comedy
11500000,en,United States of America,1994,Reality Bites,6.5,Drama
12000000,en,United States of America,1994,The Next Karate Kid,4.8,Adventure
13000000,en,United States of America,1994,Blank Check,5.1,Comedy
13000000,en,United States of America,1994,Serial Mom,6.4,Comedy
14000000,en,United States of America,1994,New Nightmare,6.4,Horror
15000000,en,United States of America,1994,Ace Ventura: Pet Detective,6.4,Comedy
15000000,en,United States of America,1994,The Crow,7.3,Fantasy
15000000,en,United States of America,1994,Giorgino,6.8,Drama
15000000,en,United States of America,1994,Mixed Nuts,5.2,Comedy
15000000,en,United States of America,1994,Prêt-à-Porter,5.3,Drama
16000000,en,United States of America,1994,Dumb and Dumber,6.5,Comedy
17000000,en,United States of America,1994,The Neverending Story III: Escape from Fantasia,4.4,Fantasy
17080000,en,United States of America,1994,The Air Up There,5.1,Comedy
18000000,en,United States of America,1994,Ed Wood,7.3,Comedy
18000000,en,United States of America,1994,Little Women,7,Drama
19000000,en,United States of America,1994,Clifford,5.3,Comedy
20000000,en,United States of America,1994,Guarding Tess,5.9,Comedy
20000000,en,United States of America,1994,No Escape,6.1,Action
20000000,en,United States of America,1994,Rapa Nui,6.2,Adventure
22000000,en,United States of America,1994,The Santa Clause,6.3,Fantasy
23000000,en,United States of America,1994,The Mask,6.6,Romance
23000000,en,United States of America,1994,A Troll in Central Park,4.4,Fantasy
25000000,en,United States of America,1994,The Shadow,5.4,Adventure
25000000,en,United States of America,1994,The Shawshank Redemption,8.5,Drama
25000000,en,United States of America,1994,Don Juan DeMarco,6.3,Romance
25000000,en,United States of America,1994,I.Q.,5.9,Comedy
26000000,en,United States of America,1994,The Chase,5.6,Comedy
26000000,en,United States of America,1994,Highlander: The Final Dimension,4.5,Action
27000000,en,United States of America,1994,Timecop,5.5,Thriller
27000000,en,United States of America,1994,The Pagemaster,6.2,Fantasy
28000000,en,United States of America,1994,The Stand,6.7,Adventure
28000000,en,United States of America,1994,Thumbelina,6.1,Animation
30000000,en,United States of America,1994,The Hudsucker Proxy,7.1,Comedy
30000000,en,United States of America,1994,The Naked Gun 33⅓: The Final Insult,6.4,Comedy
30000000,en,United States of America,1994,Jimmy Hollywood,4.6,Comedy
30000000,en,United States of America,1994,Speed,6.8,Action
30000000,en,United States of America,1994,Getting Even with Dad,4.5,Family
30000000,en,United States of America,1994,Silent Fall,5.2,Drama
30000000,en,United States of America,1994,Legends of the Fall,7.2,Adventure
31000000,en,United States of America,1994,Nell,6.1,Drama
34000000,en,United States of America,1994,Natural Born Killers,6.9,Crime
35000000,en,United States of America,1994,The Swan Princess,6.5,Animation
35000000,en,United States of America,1994,Street Fighter,4.1,Action
38000000,en,United States of America,1994,Star Trek: Generations,6.4,Science Fiction
40000000,en,United States of America,1994,I'll Do Anything,5.7,Comedy
40000000,en,United States of America,1994,Being Human,5,Drama
40000000,en,United States of America,1994,Renaissance Man,5.9,Comedy
40000000,en,United States of America,1994,North,4.8,Comedy
40000000,en,United States of America,1994,Color of Night,5.4,Drama
40000000,en,United States of America,1994,Ri¢hie Ri¢h,5.4,Comedy
45000000,en,United States of America,1994,Intersection,5.1,Drama
45000000,en,United States of America,1994,The Lion King,8,Family
45000000,en,United States of America,1994,I Love Trouble,5.3,Action
45000000,en,United States of America,1994,The Client,6.4,Drama
45000000,en,United States of America,1994,The River Wild,6.1,Action
45000000,en,United States of America,1994,The Specialist,5.5,Action
45000000,en,United States of America,1994,Mary Shelley's Frankenstein,6.1,Drama
45000000,en,United States of America,1994,Drop Zone,5.1,Action
46000000,en,United States of America,1994,The Flintstones,5,Fantasy
50000000,en,United States of America,1994,On Deadly Ground,4.6,Action
50000000,en,United States of America,1994,Beverly Hills Cop III,5.5,Action
50000000,en,United States of America,1994,Baby's Day Out,5.8,Action
50000000,en,United States of America,1994,Terminal Velocity,5,Action
55000000,en,United States of America,1994,Forrest Gump,8.2,Comedy
55000000,en,United States of America,1994,Stargate,6.8,Action
55000000,en,United States of America,1994,Disclosure,5.9,Drama
60000000,en,United States of America,1994,Love Affair,4.3,Drama
60000000,en,United States of America,1994,Interview with the Vampire,7.2,Horror
60000000,en,United States of America,1994,Junior,4.7,Comedy
62000000,en,United States of America,1994,Clear and Present Danger,6.4,Action
63000000,en,United States of America,1994,Wyatt Earp,6.5,Drama
115000000,en,United States of America,1994,True Lies,6.8,Action
30000000,en,United States of America,1995,Mute Witness,6.4,Thriller
30000000,en,United States of America,1995,Miami Rhapsody,5.6,Comedy
30000000,en,United States of America,1995,The Prophecy,6.4,Fantasy
30000000,en,United States of America,1995,Pharaoh's  Army,6.3,Western
30000000,en,United States of America,1995,The Immortals,7.8,Action
30000000,en,United States of America,1995,Multi-Facial,5.9,Drama
150000,en,United States of America,1995,Party Girl,5.8,Comedy
350000,en,United States of America,1995,Werewolf,2.3,Horror
500000,en,United States of America,1995,Living in Oblivion,7.2,Drama
500000,en,United States of America,1995,Embrace of the Vampire,5,Horror
500000,en,United States of America,1995,Hearts and Minds,0,Drama
500000,en,United States of America,1995,Aasai,6,Action
650000,en,United States of America,1995,Forgotten Silver,6.9,Comedy
1000000,en,United States of America,1995,The Demolitionist,5.3,Action
1500000,en,United States of America,1995,Kids,6.8,Drama
2000000,en,United States of America,1995,Ice Cream Man,5.7,Comedy
2000000,en,United States of America,1995,Blue in the Face,6.8,Comedy
2000000,en,United States of America,1995,Cyberjack,7.3,Action
2500000,en,United States of America,1995,Before Sunrise,7.7,Drama
3500000,en,United States of America,1995,Friday,7,Comedy
3600000,en,United States of America,1995,Leaving Las Vegas,7.1,Drama
4000000,en,United States of America,1995,Search and Destroy,6.1,Action
4000000,en,United States of America,1995,An Awfully Big Adventure,6,Romance
4000000,en,United States of America,1995,Four Rooms,6.5,Crime
5000000,en,United States of America,1995,Halloween: The Curse of Michael Myers,5,Horror
5500000,en,United States of America,1995,My Family,7,Comedy
6000000,en,United States of America,1995,Top Dog,4.3,Action
6000000,en,United States of America,1995,Tales from the Hood,5.4,Crime
6000000,en,United States of America,1995,The Usual Suspects,8.1,Drama
6000000,en,United States of America,1995,Mallrats,6.8,Romance
6100000,en,United States of America,1995,Crying Freeman,6.3,Action
6400000,en,United States of America,1995,Never Talk to Strangers,4.7,Thriller
6500000,en,United States of America,1995,The Underneath,5.6,Thriller
7000000,en,United States of America,1995,Fist of the North Star,4.4,Action
7000000,en,United States of America,1995,Smoke,7.2,Comedy
7000000,en,United States of America,1995,Desperado,6.8,Thriller
7500000,en,United States of America,1995,The Three Brothers,7.2,Comedy
8000000,en,United States of America,1995,Dr. Jekyll and Ms. Hyde,4.8,Comedy
8000000,en,United States of America,1995,Things to Do in Denver When You're Dead,6.7,Drama
8000000,en,United States of America,1995,White Man's Burden,5.1,Drama
8169363,en,United States of America,1995,Nick of Time,6.1,Crime
9000000,en,United States of America,1995,Dead Man,7.2,Drama
10000000,en,United States of America,1995,Billy Madison,6.2,Comedy
10000000,en,United States of America,1995,Dead Presidents,6.6,Action
10000000,en,United States of America,1995,How To Make An American Quilt,6.5,Drama
10000000,en,United States of America,1995,The Fantasticks,6.6,Comedy
10500000,en,United States of America,1995,Houseguest,6,Comedy
11000000,en,United States of America,1995,The Perez Family,6.6,Comedy
11000000,en,United States of America,1995,Canadian Bacon,5.9,Action
11000000,en,United States of America,1995,Dead Man Walking,7.3,Drama
12000000,en,United States of America,1995,Clueless,6.9,Comedy
12000000,en,United States of America,1995,Now and Then,6.6,Comedy
13365000,en,United States of America,1995,Happiness Is in the Field,7,Comedy
14000000,en,United States of America,1995,Jefferson in Paris,5.2,Drama
14000000,en,United States of America,1995,The Tie That Binds,4.6,Thriller
14000000,en,United States of America,1995,Vampire in Brooklyn,4.5,Comedy
15000000,en,United States of America,1995,Hideaway,5,Drama
15000000,en,United States of America,1995,Mighty Morphin Power Rangers: The Movie,5.2,Action
15000000,en,United States of America,1995,Mighty Aphrodite,6.7,Comedy
16000000,en,United States of America,1995,Waiting to Exhale,6.1,Comedy
16500000,en,United States of America,1995,Sense and Sensibility,7.2,Drama
17000000,en,United States of America,1995,Losing Isaiah,6.4,Drama
17000000,en,United States of America,1995,While You Were Sleeping,6.5,Comedy
17000000,en,United States of America,1995,A Little Princess,7.4,Drama
18000000,en,United States of America,1995,Mortal Kombat,5.4,Action
19000000,en,United States of America,1995,Bad Boys,6.5,Action
